SPARKH|4|NYU LANGONE MEDICAL CENTER|20190415-113500|Sample 123-456-7890|NYU LANGONE MEDICAL CENTER|2|20190415||
D|NYU Langone Health System|47-2613531|151562|GA1|151562|GA1|151562|GA1|1|12|100000001|100000001||Sims||Lindsey|893 Lisa Glen|Apt 578| |East Heidi|RI|70256|US|U|19960207|M|S|||||||Sims.Lindsey@example.org||20190415|H|4417.55||||||||||||||||||||||||||||20161004|20161004|P||20161004|L|12|3||81571.36||6797.61||P||||N|||A||||||||||||||||||||||||AUTO||||2|||| 
D|NYU Langone Health System|47-2613531|403400|GS1|403400|GS1|403400|GS1|1|12|100000002|100000002|MS|Torres||Jones|7483 Orozco Estates|| |Lake Edwardhaven|WV|2603|US|U|19920603|F|Q|||||||Torres.Jones@example.org||20190415|E|3804.17||||||||||||||||||||||||||||20160213|20160213|E|O|20160213|L|12|3||55713.77||4642.81||F||||Y|||A||||||||||||||||||||||||OUT||||4|||| 
D|NYU School of Medicine|13-5562309|407140|GA1|407140|GA1|407140|GA1|1|12|100000003|100000003||Cruz||Banks|51528 Davis Station|| |West Laurie|SC|62665|US|U|19980617|F|M|||||||Cruz.Banks@example.org||20190415|2|4301.95||||||||||||||||||||||||||||20180713|20180713|T||20180713|F|12|1||82463.05||6871.92||C||||N|||D||||||||||||||||||||||||SELF||||1|||| 
D|NYU Langone Health System|47-2613531|151579|GS1|151579|GS1|151579|GS1|1|12|100000004|100000004||Brown||Harmon|757 Mary Neck|| |East Alyssa|SC|5216|US|U|19970506|M|P|||||||Brown.Harmon@example.org||20190415|2|2490.51||||||||||||||||||||||||||||20160830|20160830|L|F|20160830|P|12|3||137945.62||11495.47||F||||Y|||P||||||||||||||||||||||||OUT||||4|||| 
D|NYU Hospitals Center|13-3971298|403401|GS1|403401|GS1|403401|GS1|1|12|100000005|100000005||Williams||Watkins|3149 Edward Dale|Apt 024| |Michaelshire|RI|32611|US|U|19940728|F|Q|||||||Williams.Watkins@example.org||20190415|I|1975.66||||||||||||||||||||||||||||20140617|20140617|P||20140617|T|12|5||78528.69||6544.06||P||||N|||A||||||||||||||||||||||||SELF||||4|||| 
D|NYU School of Medicine|13-5562309|151576|GS1|151576|GS1|151576|GS1|1|12|100000006|100000006||Lambert||Fletcher|5718 Brown Crossing|Suite 130| |Brendabury|TN|1030|US|U|19970726|M|S|||||||Lambert.Fletcher@example.org||20190415|H|9593.58||||||||||||||||||||||||||||20150826|20150826|R|N|20150826|F|12|4||117832.23||9819.35||C||||N|||D||||||||||||||||||||||||AUTO||||4|||| 
D|NYU Hospitals Center|13-3971298|151576|GA1|151576|GA1|151576|GA1|1|12|100000007|100000007|Mr|Fitzgerald||Sexton|013 Franco Road|Suite 223| |South Derektown|MA|51388|US|U|19950720|M|P|||||||Fitzgerald.Sexton@example.org||20190415|E|10479.3||||||||||||||||||||||||||||20170107|20170107|P||20170107|T|12|2||139967.1||11663.93||C||||Y|||E||||||||||||||||||||||||NA||||4|||| 
D|NYU School of Medicine|13-5562309|151579|GS1|151579|GS1|151579|GS1|1|12|100000008|100000008||Williams||Price|PSC 1820|Apt 4673| |APO|AE|28073|US|U|19921031|M|S|||||||Williams.Price@example.org||20190415|2|1822.19||||||||||||||||||||||||||||20120504|20120504|T||20120504|T|12|7||80401.5||6700.13||F||||N|||A||||||||||||||||||||||||AUTO||||1|||| 
D|NYU Langone Health System|47-2613531|407141|GA1|407141|GA1|407141|GA1|1|12|100000009|100000009||Schmidt||Stevenson|USNV Davies|| |FPO|AA|1140|US|U|19900927|M|Q|||||||Schmidt.Stevenson@example.org||20190415|G|2983.93||||||||||||||||||||||||||||20110819|20110819|L|A|20110819|P|12|8||60325.44||5027.12||F||||Y|||P||||||||||||||||||||||||NA||||2|||| 
D|NYU School of Medicine|13-5562309|403401|GA1|403401|GA1|403401|GA1|1|12|100000010|100000010|MS|Johnson||Robbins|883 Scott Locks|| |North Bobby|KS|72938|US|U|19940621|F|Q|||||||Johnson.Robbins@example.org||20190415|K|3934.13||||||||||||||||||||||||||||20121101|20121101|E|R|20121101|P|12|7||85378.15||7114.85||F||||Y|||N||||||||||||||||||||||||NA||||2|||| 
D|NYU Hospitals Center|13-3971298|407141|GA1|407141|GA1|407141|GA1|1|12|100000011|100000011||James||Grant|7129 Richard Pine|Apt 073| |Markville|NJ|2084|US|U|19950602|M|M|||||||James.Grant@example.org||20190415|C|3834.11||||||||||||||||||||||||||||20130729|20130729|P||20130729|P|12|6||125782.41||10481.87||P||||Y|||D||||||||||||||||||||||||AUTO||||4|||| 
D|NYU School of Medicine|13-5562309|407140|GS1|407140|GS1|407140|GS1|1|12|100000012|100000012||Rose||Alvarez|5796 Jo Cliff|| |North Sandrastad|TX|36453|US|U|19941119|M|P|||||||Rose.Alvarez@example.org||20190415|G|102.69||||||||||||||||||||||||||||20130929|20130929|L|F|20130929|P|12|6||57588.31||4799.03||P||||N|||A||||||||||||||||||||||||OUT||||4|||| 
D|NYU Langone Health System|47-2613531|151579|GA1|151579|GA1|151579|GA1|1|12|100000013|100000013||Spencer||Acevedo|090 Cindy Trail|| |Port Stephanie|NC|3425|US|U|19921217|F|P|||||||Spencer.Acevedo@example.org||20190415|C|5077.53||||||||||||||||||||||||||||20160302|20160302|D||20160302|L|12|3||88499.86||7374.99||C||||N|||N||||||||||||||||||||||||SELF||||4|||| 
D|NYU School of Medicine|13-5562309|151576|GS1|151576|GS1|151576|GS1|1|12|100000014|100000014||Peters||Roberts|919 Matthew Extensions|Suite 197| |West Thomasbury|DE|68910|US|U|19960204|F|Q|||||||Peters.Roberts@example.org||20190415|4|7341.48||||||||||||||||||||||||||||20150424|20150424|T||20150424|T|12|4||100169.23||8347.44||P||||N|||D||||||||||||||||||||||||NA||||1|||| 
D|NYU Langone Health System|47-2613531|151562|GS1|151562|GS1|151562|GS1|1|12|100000015|100000015||Malone||Smith|5596 Hooper Ville|| |Lake Charles|OK|95623|US|U|19951222|F|Q|||||||Malone.Smith@example.org||20190415|4|4616.77||||||||||||||||||||||||||||20170702|20170702|E|R|20170702|P|12|2||83374.5||6947.88||C||||N|||X||||||||||||||||||||||||NA||||2|||| 
D|NYU Langone Health System|47-2613531|151576|GS1|151576|GS1|151576|GS1|1|12|100000016|100000016|Mrs|Warren||Smith|242 Morgan Rapids|Suite 490| |South Brooke|FL|48482|US|U|19970221|F|S|||||||Warren.Smith@example.org||20190415|B|6868.96||||||||||||||||||||||||||||20180909|20180909|R|P|20180909|L|12|1||122943.66||10245.31||C||||N|||P||||||||||||||||||||||||SELF||||2|||| 
