SPARKH,04,NYU LANGONE MEDICAL CENTER,20150915-113500,Sample 123-456-7890,NYU LANGONE MEDICAL CENTER,2.0,20150901,,
D,NYU Langone Health System,47-2613531,151562,GS1,151562,GS1,151562,GS1,001,12,100000001,100000001,,Lisa,,Roy,"PSC 0753,",Box 5072, ,APO,AP,65895,US,U,19720213,F,S, , , , , , ,Lisa.Roy@example.org,,20150915,F,395.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,20010719,20010719,R,E,20010719,F,12,18,,74470.88,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,4,,,,,
D,NYU Hospitals Center,13-3971298,407141,GA1,407141,GA1,407141,GA1,001,12,100000002,100000002,,Jordan,,Glass,438 Elliott Harbor,Suite 987, ,"North Jonathanport,",AZ,45418,US,U,19700511,M,M, , , , , , ,Jordan.Glass@example.org,,20150915,F,723.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,20051222,20051222,P,N,20051222,T,12,14,,70828.08,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,2,,,,,
D,NYU School of Medicine,13-5562309,151576,GA1,151576,GA1,151576,GA1,001,12,100000003,100000003,,Kelly,,Johnson,1290 Bullock Orchard, , ,"Larryside,",MS,30477,US,U,19720501,M,S, , , , , , ,Kelly.Johnson@example.org,,20150915,F,877.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,20030601,20030601,D,I,20030601,T,12,16,,77276.03,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,,,
D,NYU Hospitals Center,13-3971298,407141,GS1,407141,GS1,407141,GS1,001,12,100000004,100000004,,Kimberly,,Powers,651 Ryan Spur,Suite 659, ,"Smithport,",NM,23714,US,U,19730316,F,P, , , , , , ,Kimberly.Powers@example.org,,20150915,F,815.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,20051122,20051122,E,O,20051122,T,12,14,,69478.34,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,,,
D,NYU Hospitals Center,13-3971298,151562,GA1,151562,GA1,151562,GA1,001,12,100000005,100000005,,Gene,,Gates,071 Jessica Manors,Apt. 109, ,"Hunterborough,",NH,09177,US,U,19720314,F,M, , , , , , ,Gene.Gates@example.org,,20150915,E,814.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,20041224,20041224,E,R,20041224,P,12,15,,106197.7,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,,
D,NYU Hospitals Center,13-3971298,151579,GA1,151579,GA1,151579,GA1,001,12,100000006,100000006,,Rita,,Joyce,USNV Dawson, , ,FPO,AE,61471,US,U,19711005,F,P, , , , , , ,Rita.Joyce@example.org,,20150915,F,682.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020216,20020216,E,E,20020216,F,12,17,,70770.54,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,,
D,NYU Hospitals Center,13-3971298,151579,GS1,151579,GS1,151579,GS1,001,12,100000007,100000007,,Melanie,,Mueller,68571 Sandra Highway, , ,"South Ericville,",NE,09297,US,U,19731207,M,P, , , , , , ,Melanie.Mueller@example.org,,20150915,F,343.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050318,20050318,T,O,20050318,F,12,14,,55201.92,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,,
D,NYU School of Medicine,13-5562309,407140,GS1,407140,GS1,407140,GS1,001,12,100000008,100000008,,Christopher,,Finley,488 Tammy Inlet, , ,"New Johnshire,",MI,71733,US,U,19730224,F,P, , , , , , ,Christopher.Finley@example.org,,20150915,E,323.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,20040213,20040213,T,,20040213,P,12,15,,72378.65,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,,
D,NYU Hospitals Center,13-3971298,403401,GS1,403401,GS1,403401,GS1,001,12,100000009,100000009,,Christopher,,Wilson,085 Dickson Canyon, , ,"Wyattchester,",AZ,23380,US,U,19710915,F,P, , , , , , ,Christopher.Wilson@example.org,,20150915,E,97.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020710,20020710,T,N,20020710,P,12,17,,128710.04,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,2,,,,,
D,NYU Langone Health System,47-2613531,151562,GA1,151562,GA1,151562,GA1,001,12,100000010,100000010,,Hayden,,Simmons,22085 Mills Walk,Apt. 869, ,"Stewartburgh,",SC,12206,US,U,19700606,F,P, , , , , , ,Hayden.Simmons@example.org,,20150915,F,745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20030316,20030316,D,A,20030316,F,12,16,,61128.83,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,,
