SPARKH,04,NYU LANGONE MEDICAL CENTER,20150915-113500,Sample 123-456-7890,NYU LANGONE MEDICAL CENTER,2.0,20150901,,
D,NYU School of Medicine,13-5562309,151579,GA1,151579,GA1,151579,GA1,001,12,100000001,100000001,,Katherine,,Allen,USNV Finley, , ,FPO,AE,63823,US,U,19730903,M,M, , , , , , ,Katherine.Allen@example.org,,20150915,F,539.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,20001109,20001109,D,I,20001109,T,12,19,,67133.77,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,,,
D,NYU Langone Health System,47-2613531,151579,GS1,151579,GS1,151579,GS1,001,12,100000002,100000002,,Marissa,,Green,022 Jon Rapids,Suite 703, ,"North Hectorborough,",NJ,32285,US,U,19701029,F,M, , , , , , ,Marissa.Green@example.org,,20150915,F,564.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050313,20050313,T,,20050313,P,12,14,,116297.04,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,1,,,,,
D,NYU Hospitals Center,13-3971298,403401,GS1,403401,GS1,403401,GS1,001,12,100000003,100000003,,Trevor,,Lindsey,10482 Clark Squares,Apt. 939, ,"Jessicaton,",GA,36795,US,U,19700314,F,S, , , , , , ,Trevor.Lindsey@example.org,,20150915,F,762.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,20021221,20021221,L,E,20021221,P,12,17,,67062.51,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,2,,,,,
D,NYU School of Medicine,13-5562309,403400,GA1,403400,GA1,403400,GA1,001,12,100000004,100000004,,Kristy,,Winters,734 Hannah Tunnel, , ,"Heatherville,",NE,65350,US,U,19720522,F,M, , , , , , ,Kristy.Winters@example.org,,20150915,F,846.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020616,20020616,L,P,20020616,P,12,17,,106303.6,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,1,,,,,
D,NYU Langone Health System,47-2613531,403401,GA1,403401,GA1,403401,GA1,001,12,100000005,100000005,,Sonia,,Reyes,06294 Valdez Shoal, , ,"North Kelsey,",PA,16053,US,U,19710502,F,Q, , , , , , ,Sonia.Reyes@example.org,,20150915,E,890.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,20040124,20040124,R,R,20040124,L,12,15,,63506.14,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,,
D,NYU Hospitals Center,13-3971298,407141,GA1,407141,GA1,407141,GA1,001,12,100000006,100000006,,Mary,,Rivera,73023 Edward Greens,Suite 769, ,"South Laura,",HI,32079,US,U,19731029,F,S, , , , , , ,Mary.Rivera@example.org,,20150915,F,567.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,20031204,20031204,T,A,20031204,P,12,16,,93289.76,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,2,,,,,
D,NYU Hospitals Center,13-3971298,403400,GS1,403400,GS1,403400,GS1,001,12,100000007,100000007,,Bradley,,Martin,1560 Brenda Lake, , ,"Thompsonbury,",ID,41338,US,U,19710805,F,Q, , , , , , ,Bradley.Martin@example.org,,20150915,F,100.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,20041019,20041019,D,U,20041019,P,12,15,,136832.1,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,2,,,,,
D,NYU Langone Health System,47-2613531,151576,GS1,151576,GS1,151576,GS1,001,12,100000008,100000008,,Miranda,,Wolfe,855 Justin Row,Suite 259, ,"Benitezshire,",LA,32405,US,U,19720123,F,Q, , , , , , ,Miranda.Wolfe@example.org,,20150915,E,454.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000711,20000711,E,I,20000711,P,12,19,,75683.74,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,4,,,,,
D,NYU Hospitals Center,13-3971298,151579,GS1,151579,GS1,151579,GS1,001,12,100000009,100000009,,Ashley,,Boyd,88189 John Forge, , ,"East Bianca,",WY,16511,US,U,19720215,M,Q, , , , , , ,Ashley.Boyd@example.org,,20150915,E,176.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,20050525,20050525,L,,20050525,L,12,14,,54255.22,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,,
D,NYU School of Medicine,13-5562309,151576,GS1,151576,GS1,151576,GS1,001,12,100000010,100000010,,Daniel,,Walker,063 Mitchell Crest, , ,"New Daniel,",IL,18607,US,U,19701125,M,M, , , , , , ,Daniel.Walker@example.org,,20150915,F,414.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020115,20020115,R,R,20020115,P,12,17,,97970.3,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,2,,,,,
